filename,total green pixels,red pixels (4 cm^2),leaf area cm^2
1.JPG,664,214,3.1
10.JPG,4383,209,20.97
100.JPG,1887,192,9.83
101.JPG,510,224,2.28
102.JPG,2764,195,14.17
104.JPG,2832,195,14.52
105.JPG,748,224,3.34
106.JPG,3538,212,16.69
107.JPG,480,210,2.29
108.JPG,2918,190,15.36
109.JPG,758,210,3.61
11.JPG,1753,214,8.19
110.JPG,3348,182,18.4
111.JPG,1962,210,9.34
112.JPG,6111,201,30.4
113.JPG,569,219,2.6
114.JPG,1155,202,5.72
115.JPG,685,202,3.39
116.JPG,3302,196,16.85
117.JPG,2149,214,10.04
118.JPG,2573,213,12.08
12.JPG,5911,207,28.56
120.JPG,4310,193,22.33
121.JPG,1017,224,4.54
122.JPG,3391,224,15.14
123.JPG,791,223,3.55
124.JPG,1145,225,5.09
125.JPG,290,209,1.39
126.JPG,2344,214,10.95
127.JPG,378,209,1.81
128.JPG,2826,195,14.49
129.JPG,416,195,2.13
13.JPG,1151,225,5.12
130.JPG,2638,219,12.05
132.JPG,5377,225,23.9
133.JPG,1262,222,5.68
134.JPG,3236,224,14.45
135.JPG,1069,224,4.77
136.JPG,2226,202,11.02
137.JPG,1099,223,4.93
138.JPG,3636,210,17.31
139.JPG,1468,223,6.58
140.JPG,3236,210,15.41
141.JPG,766,203,3.77
142.JPG,5211,220,23.69
143.JPG,699,196,3.57
144.JPG,4865,207,23.5
145.JPG,1081,210,5.15
146.JPG,7428,212,35.04
147.JPG,772,224,3.45
148.JPG,6762,201,33.64
149.JPG,794,225,3.53
15.JPG,2156,211,10.22
150.JPG,5441,213,25.54
151.JPG,1056,210,5.03
152.JPG,9234,200,46.17
153.JPG,1474,210,7.02
154.JPG,5920,207,28.6
155.JPG,1067,225,4.74
156.JPG,10518,201,52.33
157.JPG,1408,221,6.37
158.JPG,4783,197,24.28
159.JPG,2113,210,10.06
16.JPG,5936,198,29.98
160.JPG,3452,224,15.41
161.JPG,766,225,3.4
162.JPG,2838,196,14.48
163.JPG,721,218,3.31
164.JPG,1673,195,8.58
166.JPG,2528,197,12.83
167.JPG,613,210,2.92
168.JPG,3374,194,17.39
169.JPG,695,210,3.31
17.JPG,1714,211,8.12
170.JPG,2669,197,13.55
171.JPG,3499,210,16.66
172.JPG,4658,196,23.77
174.JPG,1356,198,6.85
175.JPG,1253,220,5.7
176.JPG,2106,196,10.74
177.JPG,2480,224,11.07
178.JPG,4617,199,23.2
179.JPG,1463,216,6.77
18.JPG,2921,206,14.18
180.JPG,2943,200,14.71
181.JPG,692,193,3.59
182.JPG,5514,194,28.42
183.JPG,727,196,3.71
184.JPG,5000,200,25
185.JPG,667,193,3.46
186.JPG,6647,194,34.26
187.JPG,578,185,3.12
188.JPG,8315,193,43.08
189.JPG,757,191,3.96
190.JPG,7132,196,36.39
191.JPG,2968,187,15.87
192.JPG,10160,196,51.84
193.JPG,1603,192,8.35
194.JPG,3436,193,17.8
195.JPG,1105,193,5.73
196.JPG,7319,196,37.34
197.JPG,1689,194,8.71
198.JPG,4478,202,22.17
199.JPG,2008,188,10.68
2.JPG,3578,201,17.8
20.JPG,2784,214,13.01
200.JPG,7461,189,39.48
201.JPG,891,209,4.26
202.JPG,2869,205,14
203.JPG,750,216,3.47
204.JPG,3646,199,18.32
205.JPG,951,208,4.57
206.JPG,5359,210,25.52
207.JPG,740,215,3.44
208.JPG,2794,209,13.37
209.JPG,722,217,3.33
21.JPG,777,210,3.7
210.JPG,3080,196,15.71
211.JPG,1842,224,8.22
212.JPG,5272,201,26.23
213.JPG,1081,195,5.54
214.JPG,3574,194,18.42
216.JPG,2981,192,15.53
217.JPG,1451,224,6.48
218.JPG,4664,196,23.8
219.JPG,1989,224,8.88
22.JPG,3153,224,14.08
220.JPG,9195,198,46.44
221.JPG,115,217,0.53
222.JPG,2260,196,11.53
223.JPG,447,205,2.18
224.JPG,1142,191,5.98
225.JPG,277,220,1.26
226.JPG,2684,195,13.76
227.JPG,439,201,2.18
228.JPG,2908,193,15.07
229.JPG,0,215,0
23.JPG,583,207,2.82
230.JPG,1947,195,9.98
231.JPG,1794,221,8.12
232.JPG,5043,191,26.4
233.JPG,1329,209,6.36
234.JPG,3667,214,17.14
235.JPG,2042,224,9.12
236.JPG,3023,196,15.42
237.JPG,2216,202,10.97
238.JPG,2664,200,13.32
24.JPG,2665,209,12.75
240.JPG,1140,205,5.56
241.JPG,766,218,3.51
242.JPG,2770,196,14.13
245.JPG,545,210,2.6
246.JPG,3071,198,15.51
247.JPG,739,210,3.52
248.JPG,2461,194,12.69
249.JPG,581,224,2.59
25.JPG,585,223,2.62
250.JPG,4392,198,22.18
251.JPG,1175,225,5.22
252.JPG,5987,196,30.55
253.JPG,1227,225,5.45
254.JPG,1712,196,8.73
256.JPG,4154,194,21.41
257.JPG,2432,219,11.11
258.JPG,3782,201,18.82
259.JPG,2217,210,10.56
26.JPG,3429,215,15.95
260.JPG,3289,198,16.61
261.JPG,534,212,2.52
262.JPG,2627,189,13.9
263.JPG,522,221,2.36
264.JPG,1184,194,6.1
265.JPG,333,196,1.7
266.JPG,2631,145,18.14
267.JPG,457,225,2.03
268.JPG,1827,200,9.13
269.JPG,335,224,1.5
27.JPG,679,199,3.41
270.JPG,1752,182,9.63
271.JPG,547,222,2.46
272.JPG,4381,185,23.68
273.JPG,1957,225,8.7
274.JPG,2566,27,95.04
275.JPG,1699,221,7.69
276.JPG,5440,200,27.2
277.JPG,2438,224,10.88
279.JPG,2176,215,10.12
28.JPG,3361,217,15.49
280.JPG,2594,190,13.65
281.JPG,819,196,4.18
282.JPG,3067,196,15.65
283.JPG,515,195,2.64
284.JPG,3632,198,18.34
285.JPG,819,186,4.4
286.JPG,6096,196,31.1
287.JPG,585,179,3.27
288.JPG,3079,197,15.63
289.JPG,720,195,3.69
29.JPG,349,221,1.58
290.JPG,2884,194,14.87
291.JPG,2297,187,12.28
292.JPG,4337,183,23.7
293.JPG,774,139,5.57
294.JPG,4456,195,22.85
295.JPG,1666,182,9.15
297.JPG,1838,70,26.26
298.JPG,2736,196,13.96
3.JPG,687,224,3.07
30.JPG,2653,217,12.23
300.JPG,2252,185,12.17
301.JPG,904,196,4.61
302.JPG,5845,198,29.52
303.JPG,1100,203,5.42
304.JPG,5336,196,27.22
305.JPG,980,204,4.8
306.JPG,5301,195,27.18
307.JPG,606,207,2.93
308.JPG,7037,199,35.36
309.JPG,843,196,4.3
31.JPG,2124,203,10.46
310.JPG,4328,195,22.19
311.JPG,2496,204,12.24
312.JPG,11146,205,54.37
313.JPG,1700,198,8.59
314.JPG,5103,195,26.17
315.JPG,1510,210,7.19
316.JPG,5364,196,27.37
317.JPG,2395,202,11.86
318.JPG,4280,196,21.84
32.JPG,7093,209,33.94
321.JPG,708,196,3.61
322.JPG,3432,196,17.51
323.JPG,862,214,4.03
324.JPG,3858,196,19.68
325.JPG,816,200,4.08
326.JPG,4157,202,20.58
327.JPG,673,196,3.43
328.JPG,4405,206,21.38
329.JPG,654,207,3.16
33.JPG,1579,209,7.56
330.JPG,4019,207,19.42
331.JPG,2088,196,10.65
332.JPG,5852,196,29.86
333.JPG,985,203,4.85
334.JPG,4300,197,21.83
335.JPG,2468,202,12.22
336.JPG,3822,196,19.5
337.JPG,967,206,4.69
338.JPG,2969,195,15.23
339.JPG,2213,199,11.12
34.JPG,3938,210,18.75
340.JPG,5322,198,26.88
342.JPG,4357,196,22.23
343.JPG,794,190,4.18
344.JPG,4062,197,20.62
345.JPG,908,191,4.75
346.JPG,5656,213,26.55
347.JPG,674,196,3.44
348.JPG,4170,196,21.28
349.JPG,824,197,4.18
35.JPG,1738,217,8.01
350.JPG,5677,196,28.96
351.JPG,837,192,4.36
352.JPG,7408,203,36.49
354.JPG,2232,196,11.39
355.JPG,1803,190,9.49
356.JPG,2154,196,10.99
357.JPG,2207,190,11.62
358.JPG,3401,188,18.09
36.JPG,2814,206,13.66
360.JPG,3397,196,17.33
361.JPG,830,191,4.35
362.JPG,3827,201,19.04
363.JPG,876,193,4.54
364.JPG,3162,203,15.58
365.JPG,512,194,2.64
366.JPG,4492,196,22.92
367.JPG,557,203,2.74
368.JPG,4241,198,21.42
369.JPG,627,194,3.23
37.JPG,2549,222,11.48
371.JPG,707,201,3.52
372.JPG,7206,196,36.77
373.JPG,1608,202,7.96
374.JPG,3533,208,16.99
376.JPG,5028,194,25.92
377.JPG,2979,196,15.2
378.JPG,5664,216,26.22
379.JPG,1067,194,5.5
38.JPG,5842,199,29.36
380.JPG,1738,196,8.87
381.JPG,643,196,3.28
382.JPG,3171,190,16.69
383.JPG,534,192,2.78
384.JPG,3593,197,18.24
385.JPG,552,198,2.79
386.JPG,4174,195,21.41
387.JPG,563,187,3.01
388.JPG,3379,191,17.69
389.JPG,617,187,3.3
39.JPG,1312,225,5.83
390.JPG,3255,200,16.27
391.JPG,929,190,4.89
392.JPG,4390,203,21.63
393.JPG,1472,184,8
394.JPG,3013,197,15.29
396.JPG,4316,193,22.36
397.JPG,1663,192,8.66
398.JPG,5568,202,27.56
4.JPG,3161,217,14.57
40.JPG,2927,212,13.81
401.JPG,580,200,2.9
402.JPG,3755,196,19.16
403.JPG,857,198,4.33
404.JPG,3632,196,18.53
405.JPG,891,196,4.55
406.JPG,6020,205,29.37
407.JPG,767,214,3.58
408.JPG,3803,202,18.83
409.JPG,761,201,3.79
41.JPG,1156,224,5.16
410.JPG,4981,196,25.41
411.JPG,1186,200,5.93
412.JPG,7251,196,36.99
413.JPG,1228,196,6.27
414.JPG,3230,208,15.53
415.JPG,889,201,4.42
416.JPG,3473,199,17.45
417.JPG,2133,207,10.3
418.JPG,4522,205,22.06
419.JPG,1610,213,7.56
42.JPG,7699,207,37.19
420.JPG,4318,196,22.03
421.JPG,608,206,2.95
422.JPG,3093,194,15.94
423.JPG,742,202,3.67
424.JPG,2379,192,12.39
425.JPG,656,212,3.09
426.JPG,2639,196,13.46
427.JPG,520,212,2.45
428.JPG,3050,197,15.48
429.JPG,469,199,2.36
43.JPG,681,213,3.2
430.JPG,2258,197,11.46
431.JPG,1936,205,9.44
432.JPG,5659,190,29.78
434.JPG,3840,199,19.3
435.JPG,1654,198,8.35
436.JPG,2322,195,11.91
437.JPG,858,206,4.17
438.JPG,2436,196,12.43
439.JPG,1261,204,6.18
44.JPG,7248,221,32.8
440.JPG,2389,196,12.19
441.JPG,653,190,3.44
442.JPG,3280,202,16.24
443.JPG,661,200,3.31
444.JPG,3560,196,18.16
445.JPG,1077,199,5.41
446.JPG,4228,205,20.62
447.JPG,684,200,3.42
448.JPG,4030,212,19.01
449.JPG,856,196,4.37
45.JPG,948,210,4.51
450.JPG,4464,206,21.67
451.JPG,641,205,3.13
452.JPG,6250,196,31.89
453.JPG,921,200,4.61
454.JPG,3056,207,14.76
456.JPG,3434,186,18.46
457.JPG,1092,196,5.57
458.JPG,3155,196,16.1
459.JPG,275,195,1.41
46.JPG,10869,225,48.31
460.JPG,3020,196,15.41
461.JPG,390,193,2.02
462.JPG,2364,196,12.06
463.JPG,584,199,2.93
464.JPG,2009,191,10.52
465.JPG,714,199,3.59
466.JPG,2933,196,14.96
467.JPG,492,194,2.54
468.JPG,3268,207,15.79
469.JPG,574,198,2.9
47.JPG,948,209,4.54
470.JPG,3459,201,17.21
471.JPG,1367,200,6.83
472.JPG,4348,198,21.96
473.JPG,1131,193,5.86
475.JPG,1029,200,5.14
476.JPG,954,200,4.77
477.JPG,623,195,3.19
478.JPG,3653,196,18.64
479.JPG,1853,193,9.6
48.JPG,7646,210,36.41
480.JPG,3913,195,20.07
481.JPG,402,177,2.27
482.JPG,3233,184,17.57
483.JPG,487,187,2.6
484.JPG,2329,186,12.52
485.JPG,430,181,2.38
486.JPG,2960,153,19.35
487.JPG,559,184,3.04
488.JPG,2660,172,15.47
489.JPG,482,193,2.5
49.JPG,961,135,7.12
490.JPG,3342,174,19.21
491.JPG,744,193,3.85
492.JPG,4388,193,22.74
493.JPG,877,186,4.72
494.JPG,3262,186,17.54
495.JPG,1492,183,8.15
496.JPG,2170,133,16.32
497.JPG,1991,183,10.88
498.JPG,3457,181,19.1
499.JPG,994,173,5.75
5.JPG,713,210,3.4
50.JPG,9325,223,41.82
500.JPG,3502,193,18.15
501.JPG,711,210,3.39
502.JPG,5260,202,26.04
503.JPG,950,211,4.5
504.JPG,4109,196,20.96
505.JPG,971,212,4.58
506.JPG,5941,208,28.56
507.JPG,912,211,4.32
508.JPG,6049,191,31.67
509.JPG,555,202,2.75
51.JPG,3634,213,17.06
510.JPG,7156,205,34.91
511.JPG,1736,197,8.81
512.JPG,9236,200,46.18
513.JPG,1457,209,6.97
514.JPG,3678,201,18.3
515.JPG,1753,200,8.77
516.JPG,5431,198,27.43
517.JPG,1986,209,9.5
518.JPG,5241,203,25.82
52.JPG,12193,196,62.21
520.JPG,4111,201,20.45
521.JPG,843,192,4.39
522.JPG,2218,204,10.87
524.JPG,1442,196,7.36
525.JPG,457,207,2.21
526.JPG,2627,202,13
527.JPG,574,202,2.84
528.JPG,3236,196,16.51
529.JPG,471,196,2.4
53.JPG,1615,225,7.18
530.JPG,2758,200,13.79
531.JPG,1745,199,8.77
532.JPG,5839,200,29.2
535.JPG,1280,204,6.27
536.JPG,5454,196,27.83
537.JPG,1530,199,7.69
538.JPG,3482,204,17.07
539.JPG,1151,199,5.78
54.JPG,6582,208,31.64
540.JPG,4386,196,22.38
541.JPG,711,196,3.63
542.JPG,3248,1243,2.61
543.JPG,649,196,3.31
545.JPG,750,192,3.91
546.JPG,4732,710,6.66
547.JPG,711,194,3.66
548.JPG,4200,195,21.54
549.JPG,674,191,3.53
55.JPG,3209,210,15.28
550.JPG,5051,170,29.71
551.JPG,1575,197,7.99
552.JPG,2508,188,13.34
553.JPG,999,195,5.12
554.JPG,1455,193,7.54
555.JPG,630,196,3.21
557.JPG,1557,196,7.94
558.JPG,2172,192,11.31
559.JPG,905,192,4.71
56.JPG,11146,196,56.87
560.JPG,2064,179,11.53
561.JPG,622,195,3.19
562.JPG,2776,190,14.61
564.JPG,1594,183,8.71
565.JPG,591,188,3.14
566.JPG,2759,190,14.52
567.JPG,397,197,2.02
568.JPG,2633,182,14.47
569.JPG,338,197,1.72
57.JPG,1456,211,6.9
570.JPG,1863,191,9.75
571.JPG,1002,200,5.01
572.JPG,5894,192,30.7
573.JPG,1224,197,6.21
574.JPG,2552,307,8.31
575.JPG,1467,204,7.19
576.JPG,3760,194,19.38
577.JPG,1299,198,6.56
578.JPG,1711,179,9.56
579.JPG,895,202,4.43
58.JPG,8253,224,36.84
580.JPG,1316,181,7.27
581.JPG,502,166,3.02
582.JPG,2775,185,15
583.JPG,462,188,2.46
584.JPG,2118,193,10.97
585.JPG,432,190,2.27
586.JPG,2476,184,13.46
587.JPG,313,193,1.62
588.JPG,2365,183,12.92
589.JPG,400,149,2.68
59.JPG,1067,223,4.78
590.JPG,2416,166,14.55
591.JPG,1292,182,7.1
592.JPG,3729,177,21.07
593.JPG,903,187,4.83
594.JPG,199,180,1.11
595.JPG,1203,194,6.2
596.JPG,3213,181,17.75
597.JPG,1546,188,8.22
598.JPG,2355,181,13.01
6.JPG,4902,196,25.01
63.JPG,767,211,3.64
64.JPG,4604,223,20.65
65.JPG,826,225,3.67
66.JPG,3777,210,17.99
67.JPG,700,197,3.55
68.JPG,4638,221,20.99
69.JPG,830,222,3.74
7.JPG,565,210,2.69
70.JPG,3822,210,18.2
71.JPG,930,210,4.43
72.JPG,8960,224,40
73.JPG,733,224,3.27
74.JPG,1973,210,9.4
75.JPG,1020,222,4.59
76.JPG,7377,214,34.47
77.JPG,1814,219,8.28
78.JPG,3891,221,17.61
79.JPG,1405,210,6.69
8.JPG,5551,217,25.58
80.JPG,5012,225,22.28
81.JPG,694,196,3.54
82.JPG,5485,189,29.02
83.JPG,1020,190,5.37
85.JPG,1071,192,5.58
86.JPG,8925,198,45.08
87.JPG,791,197,4.02
88.JPG,6031,188,32.08
89.JPG,766,183,4.19
9.JPG,597,210,2.84
90.JPG,7227,196,36.87
91.JPG,1626,192,8.47
92.JPG,12001,196,61.23
93.JPG,2026,194,10.44
94.JPG,4611,200,23.05
95.JPG,975,197,4.95
96.JPG,4661,194,24.03
97.JPG,1556,197,7.9
98.JPG,6318,196,32.23
99.JPG,2430,190,12.79